TransactionID,id_30,id_31,id_33,DeviceType,DeviceInfo
2987433,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile,iOS Device
2987434,iOS 10.3.3,mobile safari 10.0,2048x1536,mobile,iOS Device
2987435,Windows 10,edge 14.0,,desktop,Windows
2987437,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile,iOS Device
2987438,,mobile safari generic,,mobile,
2987439,,chrome 62.0 for android,,mobile,SM-P550 Build/MMB29M
2987443,,mobile safari 11.0,,mobile,
2987446,Windows 10,edge 15.0,1920x1080,desktop,Windows
2987449,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987455,Windows 10,edge 14.0,1280x1024,desktop,Windows
2987456,,chrome 61.0 for android,,mobile,SM-J700M Build/MMB29K
2987457,Windows 7,ie 11.0 for desktop,1920x1080,desktop,Trident/7.0
2987461,Mac OS X 10.12,firefox 57.0,1440x900,desktop,rv:57.0
2987462,Windows 10,edge 14.0,1280x1024,desktop,Windows
2987463,Android 7.0,chrome 62.0 for android,2220x1080,mobile,SM-G950U Build/NRD90M
2987465,,mobile safari 11.0,,mobile,
2987466,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987467,Android 7.0,samsung browser 6.2,1920x1080,mobile,SAMSUNG SM-G930T Build/NRD90M
2987469,iOS 11.1.2,chrome 62.0 for ios,2048x1536,mobile,iOS Device
2987476,,chrome 62.0,,desktop,Windows
2987482,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2987485,Mac OS X 10_10_5,safari generic,1280x800,desktop,MacOS
2987488,,chrome 62.0,,desktop,Windows
2987489,,chrome 62.0 for android,,mobile,Blade V6 Plus Build/MRA58K
2987490,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987499,,chrome 62.0,,desktop,Windows
2987501,,chrome 62.0,,desktop,
2987504,Windows 10,chrome 62.0,1366x768,desktop,Windows
2987505,Mac OS X 10_10_5,safari generic,1280x800,desktop,MacOS
2987508,Windows 10,edge 14.0,1280x1024,desktop,Windows
2987514,Mac OS X 10_11_5,safari generic,1280x800,desktop,MacOS
2987515,Windows 10,ie 11.0 for tablet,1366x768,desktop,Trident/7.0
2987517,,chrome 62.0 for android,,mobile,BLL-L23 Build/HUAWEIBLL-L23
2987520,iOS 9.3.5,mobile safari 9.0,2048x1536,mobile,iOS Device
2987521,Android 5.1.1,chrome generic,960x540,mobile,KYOCERA-C6742A Build/LMY47V
2987523,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987524,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987528,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile,iOS Device
2987529,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987531,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987532,Mac OS X 10_10_5,safari generic,1440x900,desktop,MacOS
2987535,,chrome 62.0,,desktop,Windows
2987543,Windows 10,firefox 57.0,1366x768,desktop,Windows
2987544,iOS 11.1.2,mobile safari 11.0,2732x2048,mobile,iOS Device
2987547,,chrome 62.0,,desktop,
2987550,,mobile safari 11.0,,mobile,
2987551,,chrome 62.0 for android,,mobile,F3113 Build/33.2.A.4.70
2987552,Windows 7,ie 11.0 for desktop,1600x900,desktop,Trident/7.0
2987553,,mobile safari 10.0,,mobile,
2987555,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987556,,chrome 62.0,,desktop,Windows
2987558,iOS 11.1.2,mobile safari generic,2436x1125,mobile,iOS Device
2987560,,chrome 62.0,,desktop,Windows
2987563,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2987571,,chrome 62.0,,desktop,Windows
2987576,iOS 11.1.2,mobile safari generic,1334x750,mobile,iOS Device
2987577,,chrome 62.0,,desktop,Windows
2987579,,chrome 62.0 for android,,mobile,D5306 Build/19.4.A.0.182
2987582,Windows 7,chrome 62.0,1920x1080,desktop,Windows
2987584,,chrome 62.0,,desktop,Windows
2987585,Windows 10,edge 15.0,1366x768,desktop,Windows
2987590,Windows 10,chrome 62.0,1920x1200,desktop,Windows
2987592,,chrome 62.0,,desktop,Windows
2987596,,chrome 62.0,,desktop,Windows
2987598,,ie 11.0 for desktop,,desktop,Trident/7.0
2987601,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile,iOS Device
2987602,Windows 7,chrome 62.0,1920x1080,desktop,Windows
2987603,Windows 7,chrome 62.0,1920x1080,desktop,Windows
2987605,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2987607,,chrome 62.0,,desktop,Windows
2987608,Android 5.1.1,chrome generic,960x540,mobile,KYOCERA-C6742A Build/LMY47V
2987610,iOS 10.3.3,mobile safari 10.0,2048x1536,mobile,iOS Device
2987612,,chrome 62.0,,desktop,Windows
2987613,,chrome 61.0,,desktop,
2987617,,chrome 62.0 for android,,mobile,M4 SS4457 Build/MRA58K
2987618,,chrome 62.0,,desktop,Windows
2987620,Android 7.0,chrome 62.0 for android,,mobile,SM-G955U Build/NRD90M
2987621,Mac OS X 10_11_6,safari generic,1440x900,desktop,MacOS
2987623,,chrome 62.0,,desktop,Windows
2987625,,other,,mobile,SM-G610M Build/MMB29K
2987630,,firefox 57.0,,desktop,Windows
2987633,,,,,
2987635,Windows 7,chrome 62.0,,desktop,Windows
2987637,,chrome 62.0,,desktop,Windows
2987638,,mobile safari 11.0,,mobile,
2987639,,chrome 62.0,,desktop,
2987641,,samsung browser 6.2,,mobile,SAMSUNG SM-G935F Build/NRD90M
2987643,Windows 7,chrome 62.0,1920x1080,desktop,Windows
2987648,Windows 10,edge 15.0,,desktop,Windows
2987653,,chrome 61.0,,desktop,Windows
2987660,,firefox 57.0,,desktop,
2987664,,ie 11.0 for desktop,,desktop,Trident/7.0
2987666,,mobile safari 11.0,,mobile,
2987668,,firefox 57.0,,desktop,
2987672,,ie 11.0 for desktop,,desktop,Trident/7.0
2987681,,firefox 57.0,,desktop,
2987683,,firefox 57.0,,desktop,Windows
2987686,,chrome 62.0,,desktop,
2987689,Windows 10,chrome 62.0,1366x768,desktop,Windows
2987692,,chrome 62.0,,desktop,
2987693,,firefox 57.0,,desktop,
2987694,Mac OS X 10_13_1,chrome 62.0,2560x1600,desktop,MacOS
2987696,,chrome 59.0 for android,,mobile,SM-G610M Build/MMB29K
2987698,Mac OS X 10_13_1,chrome 62.0,2560x1600,desktop,MacOS
2987710,,firefox 57.0,,desktop,
2987712,Windows 10,chrome 62.0,1366x768,desktop,Windows
2987718,Android 7.1.1,chrome 62.0 for android,1920x1080,mobile,XT1635-01
2987724,Windows 7,chrome 62.0,1920x1080,desktop,Windows
2987726,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987730,,chrome 62.0,,desktop,Windows
2987732,Mac OS X 10_13_1,safari generic,2048x1152,desktop,MacOS
2987733,Windows 10,edge 15.0,,desktop,Windows
2987739,,firefox 56.0,,desktop,rv:56.0
2987741,Android 7.0,chrome 62.0 for android,2960x1440,mobile,SM-G950U Build/NRD90M
2987743,Windows 7,chrome 62.0,1366x768,desktop,Windows
2987746,,chrome 62.0,,desktop,
2987747,,firefox 57.0,,desktop,
2987748,Mac OS X 10_10_5,safari generic,2560x1600,desktop,MacOS
2987750,,safari generic,,desktop,
2987751,Windows 7,chrome 62.0,1920x1080,desktop,Windows
2987752,,chrome 62.0,,desktop,Windows
2987754,Android 7.0,android webview 4.0,1280x720,mobile,VS500
2987758,,chrome 62.0 for android,,mobile,CAM-L03 Build/HUAWEICAM-L03
2987763,Android 6.0,chrome 62.0 for android,1280x800,mobile,RCT6303W87M7 Build/MRA58K
2987766,,chrome,,mobile,M4 SS4451 Build/LMY47D
2987768,,chrome 62.0,,desktop,
2987769,,chrome 62.0,,desktop,Windows
2987771,iOS 11.1.2,mobile safari 11.0,1136x640,mobile,iOS Device
2987774,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987777,,chrome 62.0,,desktop,Windows
2987779,Android 5.1.1,chrome generic,1024x600,mobile,KFFOWI Build/LVY48F
2987780,Android 5.1.1,chrome generic,1024x600,mobile,KFFOWI Build/LVY48F
2987781,Android 5.1.1,chrome generic,1024x600,mobile,KFFOWI Build/LVY48F
2987785,iOS 10.3.1,mobile safari 10.0,2732x2048,mobile,iOS Device
2987788,iOS 10.3.1,mobile safari 10.0,2732x2048,mobile,iOS Device
2987789,,mobile safari generic,,mobile,
2987790,Mac OS X 10.9,firefox 56.0,1440x900,desktop,rv:56.0
2987791,,firefox 57.0,,desktop,
2987792,,chrome generic,,mobile,Moto E (4) Build/NMA26.42-19
2987795,,samsung browser 6.2,,mobile,SAMSUNG
2987796,Android 7.0,chrome 62.0 for android,1920x1080,mobile,SM-G930V Build/NRD90M
2987800,,chrome 62.0 for android,,mobile,E2306 Build/26.3.A.1.33
2987804,,chrome 62.0,,desktop,
2987815,,chrome 62.0,,desktop,Windows
2987819,,mobile safari 9.0,,mobile,
2987820,,chrome 55.0,,desktop,Windows
2987821,Mac OS X 10_11_6,safari generic,2880x1800,desktop,MacOS
2987825,,chrome 62.0 for android,,mobile,Ilium L910 Build/MRA58K
2987828,,chrome 62.0,,desktop,Windows
2987829,Windows 7,chrome 61.0,1920x1080,desktop,Windows
2987831,iOS 11.1.2,mobile safari 11.0,2732x2048,mobile,iOS Device
2987834,Windows 10,chrome 62.0,1366x768,desktop,Windows
2987837,,chrome 62.0 for android,,mobile,SM-J700M Build/MMB29K
2987838,,chrome 62.0,,desktop,Windows
2987839,,chrome 55.0,,desktop,Windows
2987844,,chrome 62.0,,desktop,Windows
2987847,Mac OS X 10_12_6,chrome 62.0,2880x1800,desktop,MacOS
2987848,,chrome 62.0 for android,,mobile,GT-I9300
2987849,,chrome 62.0,,desktop,Windows
2987850,Windows 10,edge 15.0,1920x1080,desktop,Windows
2987853,,chrome 55.0,,desktop,Windows
2987854,,chrome 62.0,,desktop,Windows
2987855,iOS 11.1.2,mobile safari generic,2001x1125,mobile,iOS Device
2987857,,other,,mobile,LG-H420 Build/LRX21Y
2987862,Windows 8.1,firefox 57.0,1024x768,desktop,Windows
2987868,,opera 49.0,,desktop,
2987869,,ie,,desktop,Windows NT 6.2
2987872,,chrome 55.0 for android,,mobile,XT1032 Build/LPBS23.13-56-2
2987873,Windows 10,chrome 62.0,1366x768,desktop,Windows
2987885,,chrome 62.0 for android,,mobile,GT-I9060M Build/KTU84P
2987886,,mobile safari 10.0,,mobile,
2987887,,mobile safari 11.0,,mobile,
2987893,,chrome 62.0,,desktop,
2987895,,ie 11.0 for desktop,,desktop,Trident/7.0
2987900,,ie 11.0 for desktop,,desktop,Trident/7.0
2987901,,mobile safari 11.0,,mobile,
2987907,iOS 11.1.2,chrome 62.0 for ios,2048x1536,mobile,iOS Device
2987912,,,,,
2987917,,,,,
2987926,,chrome 62.0,,desktop,
2987928,,ie 11.0 for desktop,,desktop,Trident/7.0
2987929,,chrome 62.0,,desktop,Windows
2987938,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987951,,edge 15.0,,desktop,Windows
2987957,,firefox,,desktop,rv:38.0
2987964,,chrome generic,,mobile,Moto G (4) Build/NPJS25.93-14-10
2987965,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987968,,mobile safari 11.0,,mobile,
2987969,iOS 11.1.2,mobile safari 11.0,2732x2048,mobile,iOS Device
2987972,,,,,
2987989,,firefox 57.0,,desktop,Windows
2988008,,chrome 62.0,,desktop,Windows
2988015,iOS 11.0.3,mobile safari 11.0,1136x640,mobile,iOS Device
2988018,iOS 10.3.3,mobile safari 10.0,1136x640,mobile,iOS Device
2988021,iOS 10.3.3,mobile safari 10.0,1136x640,mobile,iOS Device
2988028,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988033,,chrome 62.0,,desktop,Windows
2988038,Windows 7,chrome 62.0,1280x1024,desktop,Windows
2988062,,chrome 62.0 for android,,mobile,Blade V6 Plus Build/MRA58K
2988064,,chrome 62.0 for android,,mobile,Blade V6 Plus Build/MRA58K
2988080,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988083,,chrome 61.0 for android,,mobile,SM-J700M Build/MMB29K
2988093,Android 5.1.1,chrome 62.0 for android,960x540,mobile,SM-G530T
2988140,Android 7.0,chrome 61.0 for android,1280x720,mobile,LGMP260 Build/NRD90U
2988166,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2988170,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2988171,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988177,,firefox 57.0,,desktop,Windows
2988182,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988192,,chrome 62.0 for android,,mobile,SM-E500M Build/KTU84P
2988204,iOS 11.1.2,mobile safari 11.0,2436x1125,mobile,iOS Device
2988209,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2988211,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2988221,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2988227,,ie 11.0 for desktop,,desktop,Trident/7.0
2988246,Android 7.0,samsung browser 6.2,2220x1080,mobile,SAMSUNG SM-G950U Build/NRD90M
2988257,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988267,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988304,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988308,,chrome 61.0,,desktop,
2988311,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988312,Windows 7,ie 11.0 for desktop,1280x1024,desktop,Trident/7.0
2988325,,,,,
2988339,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988340,iOS 11.1.1,mobile safari 11.0,2208x1242,mobile,iOS Device
2988342,iOS 11.1.1,mobile safari 11.0,2208x1242,mobile,iOS Device
2988356,Windows 10,chrome 62.0,,desktop,Windows
2988368,Windows 7,ie 11.0 for desktop,1600x900,desktop,rv:11.0
2988370,Mac OS X 10_12_6,chrome 61.0,1440x900,desktop,MacOS
2988378,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988380,Windows 10,edge 15.0,,desktop,Windows
2988389,Windows 7,chrome 62.0,1920x1200,desktop,Windows
2988393,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988396,iOS 11.1.1,mobile safari 11.0,1334x750,mobile,iOS Device
2988409,Android,chrome 61.0,855x480,mobile,
2988431,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2988448,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2988449,Windows 7,ie 11.0 for desktop,,desktop,Trident/7.0
2988451,Windows 7,chrome 62.0,1600x900,desktop,Windows
2988469,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988475,Mac OS X 10_10_5,chrome 62.0,1920x1080,desktop,MacOS
2988484,Mac OS X 10.9,firefox 57.0,1440x900,desktop,rv:57.0
2988495,Windows 10,edge 15.0,1920x1080,desktop,Windows
2988512,Mac OS X 10_12_6,safari generic,2560x1600,desktop,MacOS
2988513,Windows 7,chrome 62.0,1920x1080,desktop,Windows
2988535,Mac OS X 10_12_6,chrome 62.0,1920x1080,desktop,MacOS
2988549,,chrome 62.0 for android,,mobile,SM-G920I Build/NRD90M
2988565,Windows Vista,chrome 49.0,1366x768,desktop,Windows
2988567,Windows 8.1,chrome 62.0,1600x900,desktop,Windows
2988568,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2988610,Mac OS X 10_13_1,safari generic,4096x2304,desktop,MacOS
2988621,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2988622,Windows 7,ie 11.0 for desktop,1366x768,desktop,Trident/7.0
2988623,,chrome 62.0,,desktop,Windows
2988655,,chrome 62.0,,desktop,Windows
2988663,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988667,Windows 7,chrome 62.0,1024x768,desktop,Windows
2988672,Windows 7,chrome 62.0,1024x768,desktop,Windows
2988678,Windows 7,chrome 62.0,1024x768,desktop,Windows
2988686,,mobile safari 11.0,,mobile,
2988688,Windows 10,ie 11.0 for desktop,,desktop,Trident/7.0
2988690,iOS 11.1.2,mobile safari 11.0,1136x640,mobile,iOS Device
2988696,iOS 11.1.1,mobile safari 11.0,2048x1536,mobile,iOS Device
2988698,,ie 11.0 for desktop,,desktop,rv:11.0
2988701,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2988702,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2988705,Windows Vista,chrome 49.0,1280x800,desktop,Windows
2988706,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2988710,,ie 11.0 for desktop,,desktop,rv:11.0
2988713,iOS 11.0.3,mobile safari 11.0,1334x750,mobile,iOS Device
2988714,Windows 7,ie 11.0 for desktop,1440x900,desktop,Trident/7.0
2988717,iOS 11.1.2,mobile safari generic,1334x750,mobile,iOS Device
2988719,iOS 10.3.2,mobile safari 10.0,2208x1242,mobile,iOS Device
2988722,,,,,
2988737,,ie 11.0 for desktop,,desktop,Trident/7.0
2988740,Windows 10,chrome 62.0,1600x900,desktop,Windows
2988745,Windows 10,edge 15.0,,desktop,Windows
2988746,Windows 7,chrome 62.0,1024x768,desktop,Windows
2988749,,chrome 62.0,,desktop,Windows
2988752,Windows 10,chrome 62.0,1600x900,desktop,Windows
2988754,Android 7.0,samsung browser 6.2,2220x1080,mobile,SAMSUNG SM-G950U Build/NRD90M
2988755,Windows 7,chrome 62.0,1024x768,desktop,Windows
2988760,Android 7.0,samsung browser 6.2,2220x1080,mobile,SAMSUNG SM-G950U Build/NRD90M
2988763,,mobile safari 11.0,,mobile,
2988768,Windows 10,chrome 62.0,,desktop,Windows
2988769,Windows 10,edge 14.0,1366x768,desktop,Windows
2988778,Windows 7,chrome 62.0,1024x768,desktop,Windows
2988783,Windows 7,chrome 62.0,1440x900,desktop,Windows
2988800,Mac OS X 10_11_6,chrome 62.0,1920x1080,desktop,MacOS
2988804,Windows 7,ie 11.0 for desktop,1600x900,desktop,Trident/7.0
2988812,Windows 10,chrome 62.0,1280x1024,desktop,Windows
2988813,Windows 7,chrome 62.0,1600x900,desktop,Windows
2988823,Windows 7,chrome 62.0,1920x1200,desktop,Windows
2988824,Windows Vista,ie,1366x768,desktop,Windows
2988832,Windows 7,ie 11.0 for desktop,1920x1080,desktop,Windows
2988844,,ie 11.0 for desktop,,desktop,rv:11.0
2988855,Windows 7,firefox 57.0,1440x900,desktop,Windows
2988863,Mac OS X 10_12_6,chrome 62.0,1920x1080,desktop,MacOS
2988869,Android 7.0,samsung browser 6.2,2220x1080,mobile,SAMSUNG SM-G950U Build/NRD90M
2988875,Android 7.0,samsung browser 6.2,2220x1080,mobile,SAMSUNG SM-G950U Build/NRD90M
2988880,iOS 10.3.1,mobile safari 10.0,2001x1125,mobile,iOS Device
2988886,,chrome 49.0,,desktop,
2988889,Mac OS X 10_13_1,safari generic,2560x1440,desktop,MacOS
2988893,Windows 8.1,chrome 62.0,1600x900,desktop,Windows
2988894,iOS 10.3.1,mobile safari 10.0,2001x1125,mobile,iOS Device
2988902,Windows 10,edge 16.0,,desktop,Windows
2988905,Windows 7,chrome 62.0,1280x800,desktop,Windows
2988922,Mac OS X 10_11_6,chrome 61.0,2560x1600,desktop,MacOS
2988930,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988933,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2988935,Windows 7,chrome 62.0,1366x768,desktop,Windows
2988938,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988940,Windows 10,chrome 62.0,1366x768,desktop,Windows
2988950,,ie 11.0 for desktop,,desktop,Trident/7.0
2988953,,chrome 62.0,,desktop,
2988965,,chrome 62.0,,desktop,Windows
2988967,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2988983,,chrome 62.0,,desktop,
2988991,,chrome 62.0,,desktop,
2988994,,ie 11.0 for desktop,,desktop,rv:11.0
2988997,iOS 11.0.2,mobile safari 11.0,2732x2048,mobile,iOS Device
2989000,,chrome 62.0,,desktop,
2989002,,edge 14.0,,desktop,Windows
2989003,Windows 10,edge 15.0,,desktop,Windows
2989027,,chrome 62.0,,desktop,
2989029,Windows 7,chrome 62.0,1440x900,desktop,Windows
2989039,,firefox 57.0,,desktop,
2989055,,mobile safari 11.0,,mobile,
2989066,Windows 7,chrome 62.0,1680x1050,desktop,Windows
2989067,Windows 10,ie 11.0 for desktop,1920x1080,desktop,Trident/7.0
2989070,Windows 10,edge 15.0,1600x900,desktop,Windows
2989091,Mac OS X 10.11,firefox 57.0,1920x1080,desktop,rv:57.0
2989095,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2989097,Windows 10,firefox 57.0,1920x1080,desktop,Windows
2989098,Windows 10,firefox 57.0,1600x900,desktop,Windows
2989102,Windows 7,chrome 62.0,1024x768,desktop,Windows
2989106,Windows 7,ie 11.0 for desktop,1920x1080,desktop,Trident/7.0
2989109,,mobile safari 11.0,,mobile,
2989116,Android 7.0,samsung browser 6.2,1280x720,mobile,SAMSUNG SM-J327T Build/NRD90M
